cloud_nick_input_placeholder,Enter username,Ingrese apellido,उपयोगकर्ता नाम दर्ज करें,ニックネーム入力,사용자명을 입력하십시오,Insira o nome de usuário,Введите имя пользователя,ใส่ชื่อผู้ใช้,Nhập tên người dùng,请输入昵称,請輸入暱稱
newuser_mobile_input,Phone number,Número de teléfono,फ़ोन नंबर,電話番号,전화 번호,Número de telefone,Номер телефона,หมายเลขโทรศัพท์,Số điện thoại,手机号,手機號
keys,en,en,hi,ja,ko,en,en,th,vi,zh-Hans,zh-Hant
newuser_login_email_already_sended,"Email sent, please check","Correo electrónico enviado, verifíquelo por favor","ईमेल भेज दिया गया है, कृपया जाँच करें",Eメールアドレスへ送信しました。ご確認ください。,이메일이 전송되었습니다. 확인하시기 바랍니다,"E-mail enviado, verifique","Отправлено сообщение по электронной почте, проверьте свой почтовый ящик",อีเมลส่งไปแล้ว กรุณาตรวจสอบ,"Email đã gửi, vui lòng kiểm tra",邮件已发送，请查收,郵件已發送，請查收
newuser_bind_email_already_registered,Email is already registered,El correo electrónico ya está registrado,ईमेल पहले ही पंजीकृत है,このEメールアドレスはすでに登録されています。,이미 등록된 이메일입니다,O e-mail já está registrado,Адрес электронной почты уже зарегистрирован,อีเมลใช้ลงทะเบียนแล้ว,Email đã được đăng ký,该邮箱已被注册，请重新输入,該郵箱已被註冊，請重新輸入
newuser_invalid_email,E-mail format error,Error en formato del correo electrónico,ई-मेल फ़ॉरमेट त्रुटि,Eメールアドレスの形式が不正です。,잘못된 이메일 형식입니다. ,Erro do formato do e-mail,Неправильный формат адреса электронной почты,รูปแบบอีเมลผิดพลาด,Lỗi định dạng email,邮箱格式错误,郵箱格式錯誤
newuser_register_email_already_registered,"E-mail already registered,\nlog in?","El correo electrónico ya está registrado, ¿Desea iniciar sesión?","ई-मेल पहले ही पंजीकृत है,\nलॉगइन करें?",このEメールアドレスはすでに登録されています。ログインしますか？,이미 등록된 이메일입니다. \n 지금 로그인하시겠습니까?,"E-mail já registrado,\nfazer login?","Адрес электронной почты уже зарегистрирован,\nвойти?",อีเมลถูกใช้ลงทะเบียนแล้ว เข้าสู่ระบบหรือไม่,"Email đã được đăng ký,\nđăng nhập?",该邮箱已被注册，是否尝试立即登录？,該郵箱已被註冊，是否嘗試立即登錄？
newuser_account_bind_email,E-mail,Correo electrónico,ई-मेल,Eメールアドレスとリンク,이메일,E-mail,Электронная почта,อีเมล,Email,关联邮箱,關聯郵箱
common_email,Email,El correo,ईमेल,Eメール,이메일,E-mail,Электронная почта,อีเมล,Email,邮箱,郵箱
effects_include_count,effects included,efectos incluidos,प्रभाव शामिल हैं,個のエフェクト,효과 포함,efeitos incluídos,эффекты вкл.,เอฟเฟ็ครวมอยู่ด้วย,bao gồm hiệu ứng,个特效,个特效
imageshow_useeffect,Effect:,Efecto:,प्रभाव:,エフェクト：,효과:,Efeito:,Эффект:,ผลการใช้งาน:,Hiệu ứng:,使用特效:,使用特效:
effect_install_error,Effect installation failed,Falló la instalación del efecto,प्रभाव स्थापना विफल,エフェクトインストール失敗,효과 설치 실패,Instalação do efeito falhou,Не удалось установить эффект,การติดตั้งผลพิเศษล้มเหลว,Cài đặt hiệu ứng thất bại,特效安装失败,特效安裝失敗
imageshow_edit,Edit,Editar,संपादित करें,編集,편집,Editar,Редактировать,ภาพถ่าย,Chỉnh sửa,编辑,編輯
password_draw_new,Draw the new graphical password,Dibuje la nueva contraseña gráfica,नया ग्राफ़िकल पासवर्ड ड्रॉ करें,新しいパターンを指で描いてください。,새 그래픽 암호 그리기,Sortear a nova senha gráfica,Нарисуйте новый графический пароль,วาดลายเขียนรหัสผ่านใหม่,Vẽ mật khẩu đồ họa mới,请绘制新密码,請繪製新密碼
password_draw_again,Draw the graphical password again,Dibuje la contraseña gráfica nuevamente,ग्राफ़िकल पासवर्ड फिर से ड्रॉ करें,もう一度パターンを描いてください。,그래픽 암호 다시 그리기,Sortear a senha gráfica novamente,Нарисуйте графический пароль еще раз,วาดลายเขียนรหัสผ่านอีกครั้ง,Vẽ lại mật khẩu đồ họa,请再次绘制图形密码,請再次繪製圖形密碼
password_draw,Draw a graphical password,Dibuje una contraseña gráfica,ग्राफ़िकल पासवर्ड ड्रॉ करें,パターンを指で描いてください。,그래픽 암호 그리기,Sortear uma senha gráfica,Нарисуйте графический пароль,วาดลายเขียนรหัสผ่าน,Vẽ một mật khẩu đồ họa,请绘制图形密码,請繪製圖形密碼
gallery_cloudDeleteTip,"Downloading, unable to delete.","Descargando, no se puede borrar.","डाउनलोड हो रहा है, हटाने में असमर्थ।",ダウンロード中は削除できません。,다운로드 중에는 삭제가 불가능합니다.,"Baixando, não é possível excluir.","Выполняется загрузка, не удалось удалить.",กำลังดาวน์โหลด ไม่สามารถลบได้,"Đang tải xuống, không thể xóa.",照片下载中，暂时不能进行删除操作。,照片下載中，暫時不能進行刪除操作。
gallery_downloading,Downloading,"Descargando, no se puede borrar.",डाउनलोड हो रहा है,ダウンロード中,다운로드,Baixando,Загрузка,กำลังดาวน์โหลด,Đang tải xuống,正在下载,正在下載
gallery_downloadToSystem,Download photos to album,Descargar fotografías en álbum,फ़ोटो एल्बम में डाउनलोड करें,アルバムに写真をダウンロード,앨범에 사진 다운로드,Baixar fotos para álbum,Загрузить фото в альбом,ดาวน์โหลดรูปไปยังอัลบั้มระบบ,Tải xuống ảnh vào album,下载照片到系统相册,下載照片到系統相冊
gallery_taskList,Download photo,Descargar fotografía,फ़ोटो डाउनलोड करें,写真のダウンロード,사진 다운로드,Baixar foto,Загрузить фото,ดาวน์โหลดรูปภาพ,Tải xuống ảnh,照片下载,照片下載
common_downloading_fail,Download failed,Falló la descarga,डाउनलोड विफल,ダウンロード失敗,다운로드 실패,Download falhou,Ошибка загрузки,ดาวน์โหลดล้มเหลว,Tải xuống thất bại,下载失败,下載失敗
common_download,Download,Descargar,डाउनलोड करें,保存,다운로드,Baixar,Загрузить,ดาวน์โหลด,Tải xuống,下载,下載
gallery_importedFinish,Done!,¡Listo!,संपन्न!,保存完了,사진 다운로드 완료!,Pronto!,Готово!,เรียบร้อย!,Xong!,照片导入完毕!,照片導入完畢!
cloud_download_success,Done,Listo,संपन्न,完了,다운로드 완료,Pronto,Готово,เรียบร้อย,Xong,下载已完成,下載已完成
done,Done,Listo,संपन्न,完了,완료,Pronto,Готово,เรียบร้อย,Xong,完成,完成
password_set_question_succeed,Done,Listo,संपन्न,セキュリティ質問の設定,보안 질문 설정 완료,Pronto,Готово,เรียบร้อย,Xong,密码保护问题设置成功,密碼保護問題設置成功
password_succeed,Done,Listo,संपन्न,完了,앨범 암호 설정 완료,Pronto,Готово,เรียบร้อย,Xong,相册密码设置成功,相冊密碼設置成功
gallery_cloudDisabled,Disabled,Desactivado,अक्षम,無効にする,미사용 중,Desabilitado,Отключено,ปิดใช้งาน,Vô hiệu hóa,未启用,未啟用
imageshow_photosize,Dimensions:,Dimensiones:,आयाम:,寸法：,사진 크기:,Dimensões:,Размеры:,ขนาดของภาพ:,Kích thước:,照片尺寸:,照片尺寸:
imageshow_device,Device:,Dispositivo:,डिवाइस:,デバイス：,기기:,Dispositivo:,Устройство:,อุปกรณ์ถ่ายภาพ:,Thiết bị:,拍照设备:,拍照設備:
gallery_collage_deselect,Deselect,Desmarcar,चयन हटाएँ,選択解除,선택 해제,Desmarcar,Отмен. выбор,ไม่เลือก,Bỏ chọn,取消选择,取消選擇
imageshow_delete_photo,Delete the photo,Eliminar la fotografía,फ़ोटो हटाएँ,写真削除,사진 삭제,Excluir a foto,Удалить фото,คุณแน่ใจหรือว่าต้องการลบภาพ,Xóa ảnh này,删除这张照片,刪除這張照片
gallery_deletePhotoTip,Delete %zd photos,Eliminar %zd fotografías,%zd फ़ोटो हटाएँ,%zd枚の写真を削除,사진 %zd장 삭제,Excluir %zd fotos,Удалить %zd фото,ลบ %zd รูปภาพ,Xóa %zd ảnh,删除%zd张照片,刪除%zd張照片
common_delete,Delete,Eliminar,हटाएँ,削除,삭제,Excluir,Удалить,ลบ,Xóa,删除,刪除
storedetail_uninstall,Delete,Eliminar,हटाएँ,アンインストール,삭제,Excluir,Удалить,ถอนการติดตั้ง,Xóa,卸载,卸載
cloud_download_isnot_wifi,Data charges from your service provider may apply for downloading the photo.,Se pueden aplicar cargos por datos desde su proveedor de servicio por descargar la fotografía.,फ़ोटो डाउनलोड करने के लिए आपके सेवा प्रदाता से डेटा शुल्क लागू हो सकते हैं।,通信料が発生する場合があります。ダウンロードを続けますか？,"사진 다운로드 시, 데이터 요금이 발생될 수 있습니다.",Cobranças de dados do seu provedor de serviço podem se aplicar para baixar a foto.,При загрузке фото может взиматься оплата за передачу данных.,ปัจจุบันอยู่ใน3G/2G ดาวน์โหลดต่อไปไหม,Phí dữ liệu từ nhà cung cấp dịch vụ của bạn có thể áp dụng với việc tải xuống ảnh.,当前处于3G/2G，继续下载?,當前處於3G/2G，繼續下載?
newuser_account_current_accounts,Current Account,Cuenta actual,मौजूदा खाता,現在のアカウント,현재 계정,Conta atual,Текущая учетная запись,บัญชีปัจจุบัน,Tài khoản Hiện tại,当前账号,當前賬號
cloud_personal_cut_image,Crop,Recortar,क्रॉप करें,クロップ,자르기,Recortar,Обрезать,ตัด,Cắt xén,裁剪图片,裁剪圖片
uninstall_confirm,Confirm uninstall?,¿Confirma la desinstalación?,स्थापना रद्द करने की पुष्टि करें?,アンインストールしますか？,삭제하시겠습니까?,Confirmar desinstalação?,Подтвердите удаление,ยืนยันการถอนการติดตั้งหรือไม่?,Xác nhận gỡ cài đặt?,确认卸载该选项吗？,確認卸載該選項嗎？
newuser_register_mobile_confirm,Confirm phone number,Confirme número telefónico,फ़ोन नंबर की पुष्टि करें,電話番号の確認,전화번호 확인,Confirmar número do telefone,Подтвердите номер телефона,ยืนยันหมายเลขโทรศัพท์,Xác nhận số điện thoại,确认手机号码,確認手機號碼
gallery_collage,Puzzle,Collage,कोलाज़,コラージュ,콜라주,Coagem,Коллаж,เลื่อยเล็ก,Cắt dán,拼图,拼圖
cloud_network_condition,Upload network,Subir a la red,नेटवर्क अपलोड करें,アップロード用回線,업로드 네트워크 환경,Carregar rede,Отправить сеть,อัปเดตเครือข่าย,Tải lên mạng,上传时网络环境,上傳時網絡環境
setting_cloud,Cloud Album settings,Ajustar álbum en nube,क्लाउड एल्बम सेटिंग्स,クラウドの設定,클라우드 앨범 설정,Conf. álbum da nuvem,Настр. облачн. альбома,การตั้งค่าอัลบั้มคลาวด์,Cài đặt Album Đám mây,云相册设置,雲相冊設置
gallery_cloud,Cloud Album,Álbum de la nube,क्लाउड एल्बम,クラウドアルバム,클라우드 앨범,Álbum da nuvem,Облачный альбом,อัลบั้มคลาวด์,Album Đám mây,云相册,雲相册
appwall_nav_close_button_title,close,cerrar,बंद करें,オフ,닫기,fechar,закрыть,close,đóng,关闭,關閉
user_center_nickname_select,Change Name,Cambiar nombre,नाम बदलें,名前の変更,이름 변경,Alterar nome,Изменить имя,ชื่อเล่น,Thay đổi Tên,更换昵称,更換昵稱
setting_password_change,Change Album password,Cambiar contraseña del álbum,एल्बम पासवर्ड बदलें,パターンロックの変更,앨범 암호 변경,Alterar senha do álbum,Изменить пароль альбома,เปลี่ยนรหัสผ่านอัลบัม,Thay đổi mật khẩu Album,修改手势密码,修改手势密码
common_cancel,Cancel,Cancelar,रद्द करें,戻る,취소,Cancelar,Отмена,ยกเลิก,Hủy bỏ,取消,取消
newuser_login_camera360_protocal,Camera360 User Agreement,Acuerdo de usuario de Camera360,Camera360 उपयोगकर्ता अनुबंध,同意したと見なされます。,Camera360 사용자 계약,Acordo do usuário da Camera360,соглашение camera360,ข้อตกลงการใช้งาน Camera360,Thỏa thuận Người dùng Camera360,Camera360用户协议,Camera360用戶協議
gallery_import_tipsios6,Camera360 does not have access to your Camera Roll. Please go to Setting -> Privacy -> Photos and turn Camera360 on.,Camera360 no tiene acceso a su Rollo de la cámara. Vaya a Ajustes -> Privacidad -> Fotografías y encienta Camera360.,Camera360 की आपके कैमरा रोल तक पहुँच नहीं है। कृपया सेटिंग्स -> गोपनीयता -> फ़ोटो में जाएँ और Camera360 चालू करें।,Camera360からカメラロールにアクセスできない場合は、設定→プライバシー→写真からCamera360をオンにしてください。,Camera360이 카메라 롤에 액세스할 수 없습니다. 설정> 개인정보 보호> 사진으로 이동해 Camera360을 설정해주십시오.,A Camera360 não tem acesso ao seu rolo da câmera. Vá para Configurações -> Privacidade -> Fotos e ative a Camera360.,Camera360 не имеет доступа к Фотопленке. Перейдите в меню Настройки -> Конфиденциальность-> Фотографии и включите Camera360.,Camera360 ไม่มีสิทธิ์เข้าถึงม้วนฟิล์มของคุณ โปรดไปที่ การตั้งค่า > ความเป็นส่วนตัว > รูปภาพ และเปิดที่ Camera360,Camera360 không có quyền truy cập Thư viện Ảnh của bạn. Vui lòng đi tới Cài đặt -> Quyền riêng tư -> Ảnh và bật Camera360.,查看系统胶卷照片需授权，请按以下操作进行设置：系统设置->隐私->照片->Camera360,導入相冊膠卷照片需授權，請按以下操作進行設置：系統設置->隱私->照片->Camera360
kCameraHaveNoAuthorized,Camera service isn't on. So it is unable to take photos.You can turn on Camera service in Settings.\r\n(Go to Settings->Privacy->Camera->Turn on Camera360),El servicio de la cámara no está encendido. Por lo que es imposible tomar fotografías. Puede encender el servicio de la cámara en Ajustes.\r\n(Vaya a Ajustes->Privacidad->Cámara->Encender Camera360),कैमरा सर्विस चालू नहीं है। इसलिए यह फ़ोटो लेने में असमर्थ है।आप सेटिंग्स में कैमरा सर्विस चालू कर सकते हैं।\r\n(सेटिंग्स-> गोपनीयता-> कैमरा-> Camera360 चालू करें में जाएँ),カメラ機能が起動していないため、写真を撮影できません。設定画面からカメラ機能を起動できます（設定→プライバシー→カメラ→Camera360をオン）。,카메라 서비스가 설정되어 있지 않아 사진을 촬영할 수 없습니다. 기기 설정에서 카메라 서비스를 설정할 수 있습니다. \r\n(설정> 개인정보 보호> 카메라 > Camera360 설정),O serviço da câmera não está ativo. Então não é possível tirar fotos. Você pode ativar o serviço da câmera em Configurações.\r\n(Vá para Configurações->Privacidade->Câmera->Ativar Camera360),Служба камеры не включена. Невозможно сделать фото. Можно включить службу камеры в настройках.\r\n(Откройте Настройки -> Конфиденциальность->Камера и включите Camera360),ไม่ได้อยู่ในบริการกล้อง ดังนั้นจึงไม่สามารถที่จะถ่ายภาพ คุณสามารถเปิดไมโครโฟนได้ในการตั้งค่า\r\n(โปรดไปที่ ตั้งค่า-ส่วนตัว-กล้อง-เปิด Camera360),Dịch vụ camera không bật. Vì vậy mà không thể chụp ảnh. Bạn có thể bật thiết đặt Camera trong Cài đặt.\r\n(Đi tới Cài đặt->Quyền riêng tư->Camera->Bật Camera360),检测到你的手机未开启相机服务，暂不可拍照。你可在手机设置中开启服务。\r\n(设置-隐私-相机-开启Camera360相机服务),檢測到妳的手機未開啟相機服務，暫不可拍照。妳可在手機設置中開啟服務。\r\n(設置-隱私-相機-開啟Camera360相機服務)
takingPictures,Camera,Cámara,कैमरा,カメラ,카메라,Câmera,Камера,กล้อง,Camera,拍照,拍照
newuser_bind,Binding,Enlazando,बाइंड हो रहा है,リンク,바인딩,Vinculando,Связь,กำลังผูก,Đang gắn kết,绑定,綁定
gallery_cloudBackupCompleted,Backup is complete!,¡La copia de respaldo está completada!,बैकअप पूर्ण है!,完了！,백업이 완료되었습니다!,O backu está completo!,Резервное копирование закончено!,การสำรองเสร็จสิ้น,Sao lưu hoàn thành!,备份完成!,備份完成!
gallery_cloudBackupingTip,Backing up %zd photos,Realizando copia de respaldo de %zd fotografías,%zd फ़ोटो का बैकअप हो रहा है,%zd枚の写真をバックアップ中,사진 %zd장 백업 중,Fazendo backup de %zd fotos,Созданы резервные копии для %zd фото,กำลังสำรอง %zd รูปภาพ,Đang sao lưu %zd ảnh,%zd张照片备份中,%zd張照片備份中
gallery_cloudBackuping,Backing up,Realizando copia de respaldo,बैकअप हो रहा है,バックアップ中,백업 중 ,Fazendo backup,Выполняется резервное копирование,กำลังทำการสำรอง,Đang sao lưu,正在备份,正在備份
common_back,Back,Atrás,वापस,戻る,뒤로,Voltar,Назад,กลับ,Quay lại,返回,返回
setting_auto_upload,Automatically upload,Subir automáticamente.,स्वचालित अपलोड,自動アップロード,자동 업로드,Carregar automaticamente,Отправлять автоматически,อัปโหลดอัตโนมัติ,Tự động tải lên,自动上传,自動上傳
gallery_cloudBackupOff,Automatic backup off,Copia de respaldo automática apagada,स्वचालित बैकअप बंद,自動バックアップオフ,자동 백업 끄기,Desativar backup automaticamente,Автоматическое резервное копирование,ปิดการสำรองข้อมูลอัตโนมัติ,Tự động tắt sao lưu,已关闭自动备份,已關閉自動備份
setting_auto,Auto,Automático,स्वचालित,自動,자동,Automático,Авто,อัตโนมัติ,Tự động,自动,自動
password_verify,Authentication,Autenticación,प्रमाणीकरण,認証,암호 인증,Autenticação,Авторизация,ตรวจสอบรหัสผ่าน,Xác thực,密码验证,密碼驗證
gallery_puzzle_wornig,At least 2 pictures,Al menos 2 fotografías,कम-से-कम 2 चित्र,コラージュには2枚以上の写真が必要です。,사진이 최소 2장 필요합니다,Pelo menos 2 fotos,По крайней мере 2 фотографии,ต้องการภาพอย่างน้อย2ภาพ,Ít nhất 2 ảnh,拼图至少需要2张照片,拼圖至少需要2張照片
camera_uninstall_confirm,Are you sure you want to delete %@?,¿Está seguro de que desea eliminar %@?,क्या आप वाकई %@ हटाना चाहते हैं?,「%@」を本当に削除しますか？,%@(을)를 삭제하시겠습니까?,Tem certeza que deseja excluir %@?,Удалить %@?,แน่ใจหรือไม่ที่จะถอนการติดตั้ง%@?,Bạn có chắc mình muốn xóa %@ không?,是否确认卸载“%@”？,是否確認卸載“%@”？
store_installed,Apply,Aplicar,लागू करें,適用,사용,Aplicar,te,นำไปใช้,Áp dụng,使用,使用
password_answer,Answer：,Respuesta:,उत्तर:,回答:,대답:,Resposta:,Ответ：,คำตอบ:,Trả lời:,答案:,答案:
password_answer_wrong,Answer is incorrect. Please try again.,La respuesta es incorrecta. Inténtelo nuevamente.,उत्तर ग़लत है। कृपया पुनः प्रयास करें।,回答が間違っています。,잘못된 대답입니다. 다시 시도하십시오.,A resposta está incorreta. Tente novamente.,Ответ неправильный. Попробуйте еще раз.,คำตอบไม่ถูกต้อง โปรดลองอีกครั้ง,Trả lời không đúng. Vui lòng thử lại.,答案错误，请重新输入,答案錯誤，請重新輸入
setting_album_encryption,Album Encryption,Cifrado del álbum,एल्बम एन्क्रिप्शन,アルバムの暗号化,앨범 암호 설정 ,Criptografia do álbum,Шифрование альбома,การเข้ารหัสอัลบัม,Mã hóa Album,相册加密,相冊加密
newuser_access_album_failed,Album access error,Error de acceso al álbum,एल्बम पहुँच त्रुटि,アルバムエラー,앨범 액세스 오류,Erro de acesso do álbum,Ошибка доступа к альбому,การเข้าถึงอัลบั้มผิดพลาด,Lỗi truy cập album,访问相册错误,訪問相冊錯誤
gallery_album,Album,Álbum,एल्बम,アルバム,앨범,Álbum,Альбом,อัลบั้ม,Album,相册,相册
gallery_photos,Album,Álbum,एल्बम,アルバム,앨범,Álbum,Альбом,อัลบั้มภาพ,Album,相簿,相簿
newuser_bind_mobile_benefit,"After a successful bind, you can log in using your phone number and password.","Tras un enlace satisfactorio, puede iniciar sesión con su número telefónico y contraseña.","सफल बाइंड के बाद, आप अपने फ़ोन नंबर और पासवर्ड का उपयोग करके लॉगइन कर सकते हैं।",リンク完了後、電話番号とパスワードでログインできるようになります。,"성공적으로 바인딩되면, 전화번호와 암호를 통해 로그인할 수 있습니다.","Após uma vinculação bem-sucedida, você pode fazer login usando o seu número de telefone e senha.",После привязки вы сможете входить с помощью номера телефона и пароля.,หลังจากการผูกสำเร็จแล้ว คุณสามารถลงชื่อเข้าใช้งานด้วยหมายเลขโทรศัพท์และรหัสผ่านของคุณ,"Sau khi gắn kết thành công, bạn có thể đăng nhập bằng cách sử dụng số điện thoại và mật khẩu của mình.",绑定成功后，你即可使用手机号和密码登录,綁定成功後，你即可使用手機號和密碼登錄
newuser_bind_email_benefit,"After a successful bind, you can log in using your email and password.","Tras un enlace satisfactorio, puede iniciar sesión con su correo electrónico y contraseña.","सफल बाइंड के बाद, आप अपनी ईमेल और पासवर्ड का उपयोग करके लॉगइन कर सकते हैं।",リンク完了後、Eメールアドレスとパスワードでログインできるようになります。,"성공적으로 바인딩되면, 이메일과 암호를 통해 로그인할 수 있습니다.","Após uma vinculação bem-sucedida, você pode fazer login usando o seu e-mail e senha.",После привязки вы сможете входить с помощью адреса электронной почты и пароля.,หลังจากการผูกสำเร็จแล้ว คุณสามารถลงชื่อเข้าใช้งานด้วยอีเมลและรหัสผ่านของคุณ,"Sau khi gắn kết thành công, bạn có thể đăng nhập bằng cách sử dụng email và mật khẩu của mình.",绑定成功后，你即可使用邮箱和密码登录,綁定成功後，你即可使用郵箱和密碼登錄
newuser_invalid_account,Account number is incorrect,cuenta incorrecta,खाता नंबर ग़लत है,アカウント番号が間違っています。,잘못된 계정 주소입니다,O número da conta está incorreto,Неверный номер учетной записи,เลขที่บัญชีไม่ถูกต้อง,Số tài khoản không đúng,输入账号不正确,輸入賬號不正確
setting_about,About,Acerca de,परिचय,バージョン情報,~에 대하여,Sobre,О приложении,เกี่ยวกับ,Giới thiệu,关于,關於
password_too_short,3 points should be linked at least.\nPlease try again.,Deben unirse 3 puntos. Intente de nuevo.,कम-से-कम 3 पाइंट जोड़े जाने चाहिए।\nकृपया पुनः प्रयास करें।,３か所以上一致する必要があります,점을 3개 이상 연결해야합니다. \n 다시 시도하십시오.,3 pontos deveriam estar vinculados.\nTente novamente.,Нужно соединить по крайней мере три точки.\nПопробуйте ещё раз.,อย่างน้อย 3 จุดต้องเชื่อมต่อกัน โปรดลองอีกครั้ง,Ít nhất 3 điểm sẽ được liên kết.\nVui lòng thử lại.,"请至少连接3个点,请重新绘制","請至少連接3個點,請重新繪製"
gallery_downloadingTip,%zd photos downloading,%zd fotografías descargándose,%zd फ़ोटो डाउनलोड हो रहे हैं,%zd枚の写真をダウンロード中,사진 %zd장 다운로드 중,%zd fotos sendo baixadas,Загрузка %zd фото,%zd กำลังดาวน์โหลดรูปภาพ,Đang tải xuống %zd ảnh,%zd 张照片正在下载中,%zd 張照片正在下載中
effect_cannot_apply,%@ editing is not supported,No es compatible la edición de %@,%@ संपादन समर्थित नहीं है,%@の編集に対応していません。,%@의 편집이 지원되지 않습니다,%@ edição não é suportada,Редактирование %@ не поддерживается,ไม่สนับสนุน%@ในโหมดแก้ไขรูป,Chỉnh sửa %@ không được hỗ trợ,%@特效暂不支持后期编辑,%@特效暫不支持後期編輯
common_InstallSoftware_missing,"%@ client is not installed, sure to install immediately?","El cliente %@ no está instalado, ¿Está seguro de desinstalarlo inmediatamente?","%@ ग्राहक स्थापित नहीं है, क्या वाकई  तुरंत स्थापित करना चाहते हैं?",%@がインストールされていません。シェルするにはインストールしてください。,%@의 클라이언트가 설치되어 있지 않습니다. 공유를 위해 즉시 설치하시겠습니까?,"%@ cliente não está instalado, tem certeza que deseja instalar imediatamente?","Клиент %@ не установлен, установить сейчас?",กรุณาติดตั้งรุ่นไคลเอ็นต์%@ก่อนแล้วแบ่งปัน,"%@ máy khách chưa được cài đặt, nhớ cài đặt ngay lập tức?",你还未安装%@客户端，请安装后再分享,你還未安裝%@客戶端，請安裝後再分享
effects_include,Include,contener,सामग्री,内容,컨텐츠,conter,содержать,มีผลพิเศษ,Nội dung,內含,內含
camera360_camera_idle_check,"Inactive for over 180s, hibernating…","Inactivo por más de 180 seg., hibernando…","180s से अधिक समय से निष्क्रिय, हायबरनेट हो रहा है...",180秒以上操作がないため、スリープモードに移行します…,180초 이상 미사용. 절전 모드로...,"Inativo por mais de 180s, hibernando…","Неактивно более 180 с, переход в спящий режим...",ไม่ได้ใช้งานนานกว่า 180 วินาที กำลังเข้าสู่ภาวะการจำศีล....,"Không hoạt động quá 180 giây, đang ngủ đông...",你超过180秒未使用，休眠中···,你超過180秒未使用，休眠中···
camera_effectSelectView_effectStore,Effect Store,tienda,प्रभाव स्टोर,エフェクトストア,이펙트 스토어,loja,магазин,เอฟเฟ็คสโตร์,CH Hiệu ứng,特效商店,特效商店
camera_effect_collect_favEffects,Add effect to favorites,Agregar efecto a favorito,पसंदीदा में प्रभाव जोड़े,エフェクトをお気に入りに追加,즐겨찾기에 효과 추가,Adicionar efeito aos favoritos,Добавить эффект в избранное,เพิ่มเอฟเฟ็คเข้าในรายการโปรด,Thêm hiệu ứng vào yêu thích,收藏特效,收藏特效
camera_effect_name_origin,Original,Original,मूल,エフェクトなし,원판,Original,Оригинал,ไม่มีเอฟเฟ็ค,Gốc,原片,原片
camera_menu_tip_nightMode_off,Nightmode Off,Modo nocturno apagado,रात्रि मोड बंद,夜間モードオフ,야간 모드 끄기,Modo noturno inativo,Ночной режим выкл.,ปิดโหมดกลางคืน,Tắt Chế độ Ban đêm,夜景关闭,夜景關閉
camera_menu_tip_nightMode_on,Nightmode On,Modo nocturno encendido,रात्रि मोड चालू,夜間モードオン,야간 모드 켜기,Modo noturno ativo,Ночной режим вкл.,เปิดโหมดกลางคืน,Bật Chế độ Ban đêm,夜景打开,夜景打開
camera_menu_tip_selfNightMode_off,Night Selfie Off,Selfie nocturna apagado,रात्रि सेल्फ़ी बंद,夜間自撮りオフ,야간 셀카 끄기,Selfie noturno inativo,Ночное селфи выкл.,ปิดโหมดเซลฟีกลางคืน,Tắt Selfie Ban đêm,夜自拍关闭,夜自拍關閉
camera_menu_tip_selfNightMode_on,Night Selfie On,Selfie nocturna encendido,रात्रि सेल्फ़ी चालू,夜間自撮りオン,야간 셀카 켜기,Selfie noturno ativo,Ночное селфи вкл.,เปิดโหมดเซลฟีกลางคืน,Bật Selfie Ban đêm,夜自拍打开,夜自拍打開
camera_menu_tip_touchCapture_off,Touch capture Off,Captura táctil apagado,टच कैप्चर बंद,タッチ撮影オフ,터치 캡처 끄기,Captura de toque inativa,Съемка касанием выкл.,ปิดสัมผัสเพื่อถ่ายภาพ,Tắt chụp cảm ứng,触屏拍照关闭,觸屏拍照關閉
camera_menu_tip_touchCapture_on,Touch capture On,Captura táctil encendido,टच कैप्चर चालू,タッチ撮影オン,터치 캡처 켜기,Captura de toque ativa,Съемка касанием вкл.,เปิดสัมผัสเพื่อถ่ายภาพ,Bật chụp cảm ứng,触屏拍照开启,觸屏拍照開啟
camera_scene,Poster Camera,Cámara de poster,पोस्टर कैमरा,風景カメラ,포스터 카메라,Câmera de pôster,Фото-плакат,กล้องโปสเตอร์,Camera Áp phích,情景相机,情景相機
camera_tip_AF_AE_lock,Auto EV/focus lock,Bloqueo automático de foco/EV,ऑटो EV/फ़ोकस लॉक,オート露出補正／フォーカスロック,자동 EV/ 초점 고정,Bloqueio automático de EV/foco,Автоматическая экспозиция/фокусировка заблокирована,ล็อคออโต้ EV/โฟกัส,EV tự động/khóa lấy nét,自 动 曝 光 / 自 动 对 焦 锁 定,自 動 曝 光 / 自 動 對 焦 鎖 定
camera_tip_ask_enable_live_preview,Turn on live preview,Encender vista previa en vivo,लाइव पूर्वावलोकन चालू करें ,ライブプレビューを起動,실시간 미리보기 작동,Ativar visualização ao vivo,Включить предварительный просмотр,เปิดการพรีวิววสด,Bật xem trước trực tiếp ,请在设置中打开实时预览,請在設置中打開實時預覽
camera_tip_autoEffect,Easy Cam,Easy Cam,आसान कैम,スマートカメラ,이지 캠,Easy Cam,Easy Cam,กล้องอีซี่,Easy Cam,智能,智能
camera_tip_capture_photoing,Generating photo,Generando fotografía,फ़ोटो उत्पन्न करना,写真を生成しています,사진 생성,Gerando foto,Создание фото,กำลังสร้างภาพ,Đang khởi tạo ảnh,照片生成中,照片生成中
